Reference, Value, Footprint, Datasheet, Shop URL
"J1","AudioJack3","ABC:3.5mm_Stereo_TRS_PJ-3210-4A_and_ST-005-G","~","https://lcsc.com/product-detail/Audio-Video-Connectors_Korean-Hroparts-Elec-PJ-3210-4A_C136686.html"
"J2","AudioJack3","ABC:3.5mm_Stereo_TRS_PJ-3210-4A_and_ST-005-G","~","https://lcsc.com/product-detail/Audio-Video-Connectors_Korean-Hroparts-Elec-PJ-3210-4A_C136686.html"
